Nama Shelter,Rating,Alamat,Link Google Maps,Deskripsi
Ahmad Small Farm,4/5,"Jl. C.Trowulan No.65, Mojolangu, Kec. Lowokwaru, Kota Malang, Jawa Timur 65142",https://maps.app.goo.gl/dwL2snyfbsnNRrPp6,Shelter hewan dengan berbagai fasilitas yang canggih untuk hewan peliharaanmu!
Murphys Animal House,5/5,"Jl. Blimbing Indah Selatan XII No.1A, Purwodadi, Kec. Blimbing, Kota Malang, Jawa Timur 65124",https://maps.app.goo.gl/GfrjnxkdJudYTLUW9,Shelter kami buka 24 jam dan menyediakan berbagai jenis kebutuhan anabul Anda!
Paws Home,5/5,"Jl. Poh Payung No.11, Tunggulwulung, Kec. Lowokwaru, Kota Malang, Jawa Timur 65143",https://maps.app.goo.gl/aQuSvwvaxnGu6Rc78,Paws Home adalah pilihan yang tepat untuk kamu yang ingin mengadopsi atau menitipkan anabulmu!
Rehoming & Adoption!,3/5,"Perumahan Bukit Cemara Tujuh Blok BB21, Dermo, Mulyoagung, Dau, Malang Regency, East Java 65151",https://maps.app.goo.gl/4azstBunS5BxnuYK6,"Tersedia 24 jam, apabila ingin rehoming mohon hubungi terlebih dahulu"
Sentuhan Sayang Shelter,4/5,"Jl. Jambu, Semanding, Sumbersekar, Kec. Dau, Kabupaten Malang, Jawa Timur 65151",https://maps.app.goo.gl/iv7W2aEkgi3Z8sxZ6,Setiap Langkah di Shelter adalah Langkahmu!
Anugerah Hewan Terlantar,4/5,"Jl. Pangestu No.. (RT 32, RW.12, Telasih, Kepuharjo, Kec. Karang Ploso, Kabupaten Malang, Jawa Timur 65152",https://maps.app.goo.gl/QMFqFhRf4v2nsvbo8,"Buka setiap hari, apabila ingin konsultasi terkait adopsi harap reservasi terlebih dahulu"
Harmoni Hewan Rescue,5/5,"Jl. Raya Langlang No.152, Langlang III, Langlang, Kec. Singosari, Kabupaten Malang, Jawa Timur 65153",https://maps.app.goo.gl/7rT7ZQ87nxK8cFAp8,Rumah Hewan Terlantar No. 1 di Jawa Timur
Suka Duka Pet Sanctuary,5/5,"Jl. A Yani Utara, Jl. Riverside Blk. C No.1, Polowijen, Blimbing, Malang City, East Java 65126",https://maps.app.goo.gl/ZZ3UYwDo1WpPBiRM6,"Dilayani dengan sepenuh hati, dirawat sepertii anabul sendiri!"
Pusat Perlindungan Hewan,3/5,"Jl. Cakrawala No.5, Sumbersari, Kec. Lowokwaru, Kota Malang, Jawa Timur 65145",https://maps.app.goo.gl/5FnvDTppgiCbavNM9,"Melindungi Hidup, Membangun Harapan Bersama"
Melodi Hati Pet Shelter,3/5,"Ruko permata land, Tunggulwulung, Kec. Lowokwaru, Kota Malang, Jawa Timur 65143",https://maps.app.goo.gl/L14M6FoP8myL1o9z5,Silahkan berkunjung ke shelter kami!
Gemilang Hewan Haven,4/5,"Jl. Soekarno Hatta No.9, Jatimulyo, Kec. Lowokwaru, Kota Malang, Jawa Timur 65141",https://maps.app.goo.gl/VWzfTmFNS8iik6pT7,"Buka 24 jam, kami menampung berbagai hewan terlantar dan membuka jasa adopsi"
Ramah Hewan Refuge,4/5,"Jl. Notojoyo, Babatan, Tegalgondo, Kec. Karang Ploso, Kabupaten Malang, Jawa Timur 65152",https://maps.app.goo.gl/rEH2PnjAB8rYj1id8,Kami membuka adopsi gratis bagi para anabul yang kami rawat saat ini!
Peluk Cinta Pet Shelter,4/5,"JL. Raya Karanglo KM. 2, Tasikmadu, Kec. Lowokwaru, Kota Malang, Jawa Timur 65153",https://maps.app.goo.gl/vmnocYDaQZSvrWkL8,"Keselamatan yang Dirasakan, Kebersamaan yang Dibagikan."""
